year,min,max,mean
1926,6.7,33.1,22.1
1927,8.8,33.6,22.1
1928,11.1,34,22.4
1929,9.9,33,22.3
1930,9.3,33.4,22.9
1931,6.1,34.5,22.8
1932,9.2,33.2,22.2
1933,9.2,34.8,22.7
1934,8.8,34.4,22.1
1935,9.5,35,22.6
1936,9,34.8,22.6
1937,9.6,36,23.1
1938,11.1,34.3,22.9
1939,10.7,33.2,22.2
1940,9.6,32.9,22.4
1941,10.6,34,23.1
1942,11,34.9,23.2
1943,9.6,33.3,22.4
1944,10.6,33.8,22.5
1945,8.7,34.2,22.3
1946,8.4,34.6,23
1947,10.1,34.2,22.4
1948,7,34.6,22.9
1949,8.6,33.4,23
1950,10.1,34.4,22.6
1951,9.7,34,22.8
1952,9,34.1,23.2
1953,9.6,34,23.2
1954,11.5,34.4,23.4
1955,8.9,34,22.9
1956,7.6,34.8,22.9
1957,9.6,34,22.8
1958,9.1,33.1,22.8
1959,8.6,35,23.3
1960,10,35,23.1
1961,9,33.8,23.1
1962,9,33.6,22.5
1963,7.3,34.4,22.3
1964,10.4,33.6,22.9
1965,9,34.1,22.8
1966,10.5,34.8,23.5
1967,8.2,33.8,22.7
1968,9,33.8,22.3
1969,9,34.4,22.9
1970,8.2,34.4,23
1971,9.2,34.3,22.7
1972,8.8,33.6,22.7
1973,8.2,33.2,23.1
1974,9.2,32.5,22.8
1975,10.5,33.6,23.1
1976,10.6,33.5,22.9
1977,9,33.8,24.2
1978,9.5,34.9,23.4
1979,10,34.6,23.1
1980,10,34.5,23.4
1981,10.6,34.6,23.1
1982,10.9,34.2,23.3
1983,9.7,34.2,23
1984,8.3,33.3,22.6
1985,9.1,32.8,23.1
1986,8.9,33.9,22.9
1987,10.3,34.9,23.6
1988,11.3,33,23.4
1989,10,33.4,22.9
1990,10.8,34,23.3
1991,10.4,33.5,23.5
1992,11.2,33.4,23.1
1993,10.4,33.5,23.4
1994,11.6,37.4,23.9
1995,10.3,34.6,23.1
1996,10.2,35.2,23.4
1997,9.5,34.4,23.3
1998,10.9,35.9,24.3
1999,8.5,35.4,23.6
2000,11.7,34.8,23.7
2001,10.7,35.3,23.7
2002,11.1,34.7,23.9
2003,12,35.6,23.6
2004,9.3,36.5,23.3
2005,9.5,34.8,23.4
2006,11,34,23.7
2007,8.7,37,23.9
2008,11.5,34,23.6
2009,10.5,34.5,23.8
2010,10.4,34.6,23.7
2011,11.4,34.2,23.1
2012,10.5,34.6,23.3
2013,11.3,36.3,23.5
2014,9.8,35.2,23.5
2015,11.5,34.6,23.9
2016,7.9,34.1,24.2
2017,11.2,34.5,24.1
2018,10.4,36.3,24
2019,13.6,35.6,24.4
2020,11.4,35.3,24.4
2021,8.9,35.4,23.9
2022,10.1,34.4,24
2023,10.9,33.9,23.9
2024,11.8,35,24.3
2025,11.4,34.2,23.9
